planning_run_id,queue_review_item_id,period_start,period_end,workstation_id,workstation_name,queue_issue_type,queue_issue_severity,estimated_queue_pressure_score,estimated_queue_pressure_level,estimated_wip_risk_level,queue_issue_description,suggested_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260630135450,QUEUE-REV-0073,2026-09-07,2026-09-13,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0074,2026-09-07,2026-09-13,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0075,2026-09-14,2026-09-20,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0076,2026-09-14,2026-09-20,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0077,2026-09-14,2026-09-20,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0078,2026-09-14,2026-09-20,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0079,2026-09-14,2026-09-20,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0080,2026-09-14,2026-09-20,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0081,2026-09-14,2026-09-20,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0082,2026-09-21,2026-09-27,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0083,2026-09-21,2026-09-27,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0084,2026-09-21,2026-09-27,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0085,2026-09-21,2026-09-27,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0086,2026-09-21,2026-09-27,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0087,2026-09-21,2026-09-27,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0088,2026-09-21,2026-09-27,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0089,2026-09-28,2026-10-04,WS-FINAL-ASM,Final Assembly Station,PARALLEL_MERGE_PRESSURE,MEDIUM,35.0,MEDIUM,MEDIUM,Final Assembly Station has MEDIUM estimated queue pressure from PARALLEL_BRANCH_JOIN_PRESSURE.,REVIEW_ROUTING_JOIN_ASSUMPTIONS,False,True
