review_item_id,planning_run_id,schedule_candidate_id,finished_sku,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
PSR-0100,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0101,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0102,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0103,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0104,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0105,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0106,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0107,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0108,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0109,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0110,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0111,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0112,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0113,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0114,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0115,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0116,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0117,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0118,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0119,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0120,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0121,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0122,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0123,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0124,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0125,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0126,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0127,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0128,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0129,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0130,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0131,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0132,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0133,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0134,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0135,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0136,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0137,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0138,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0139,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0140,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0141,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0142,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0143,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0144,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0145,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0146,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0147,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0148,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0149,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0150,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0151,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0152,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0153,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0154,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0155,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0156,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0157,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0158,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0159,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0160,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0161,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260928,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0162,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260928,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0163,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260928,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0164,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260928,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
